distanceX,distanceY,nbCities,nbDepot,nbTrips,nbCombined,maxPercentageCombined,startHorizon(minute),endHorizon(minute),maxDriveTime(minute),maxWorkTime(Minute),VehicleFixedCost,DriverFixedCost,idleCostVehiclePerMinute,idleCostDriverPerMinute,costPerChange
180,180,5,2,50,0,0,0,1440,540,780,100000,4000,20,1,30
180,180,5,2,100,2,0,0,1440,540,780,100000,4000,20,1,30
180,180,5,2,150,0,0,0,1440,540,780,100000,4000,20,1,30
180,180,5,2,50,2,0.03,0,1440,540,780,100000,4000,20,1,30
180,180,5,2,100,0,0.03,0,1440,540,780,100000,4000,20,1,30
180,180,5,2,150,2,0.03,0,1440,540,780,100000,4000,20,1,30
180,180,5,2,50,2,0.08,0,1440,540,780,100000,4000,20,1,30
180,180,5,2,100,0,0.08,0,1440,540,780,100000,4000,20,1,30
180,180,5,2,150,2,0.08,0,1440,540,780,100000,4000,20,1,30
180,180,5,2,50,3,0.15,0,1440,540,780,100000,4000,20,1,30
180,180,5,2,100,3,0.15,0,1440,540,780,100000,4000,20,1,30
180,180,5,2,150,3,0.15,0,1440,540,780,100000,4000,20,1,30
180,180,5,2,50,3,0.25,0,1440,540,780,100000,4000,20,1,30
180,180,5,2,100,3,0.25,0,1440,540,780,100000,4000,20,1,30
180,180,5,2,150,3,0.25,0,1440,540,780,100000,4000,20,1,30
180,180,5,2,200,0,0,0,1440,540,780,100000,4000,20,1,30
180,180,5,2,250,2,0,0,1440,540,780,100000,4000,20,1,30
180,180,5,2,300,0,0,0,1440,540,780,100000,4000,20,1,30
180,180,5,2,200,2,0.03,0,1440,540,780,100000,4000,20,1,30
180,180,5,2,250,0,0.03,0,1440,540,780,100000,4000,20,1,30
180,180,5,2,300,2,0.03,0,1440,540,780,100000,4000,20,1,30
180,180,5,2,200,2,0.08,0,1440,540,780,100000,4000,20,1,30
180,180,5,2,250,0,0.08,0,1440,540,780,100000,4000,20,1,30
180,180,5,2,300,2,0.08,0,1440,540,780,100000,4000,20,1,30
180,180,5,2,200,3,0.15,0,1440,540,780,100000,4000,20,1,30
180,180,5,2,250,3,0.15,0,1440,540,780,100000,4000,20,1,30
180,180,5,2,300,3,0.15,0,1440,540,780,100000,4000,20,1,30
180,180,5,2,200,3,0.25,0,1440,540,780,100000,4000,20,1,30
180,180,5,2,250,3,0.25,0,1440,540,780,100000,4000,20,1,30
180,180,5,2,300,3,0.25,0,1440,540,780,100000,4000,20,1,30
180,180,5,2,100,0,0,0,2880,540,780,100000,4000,20,1,30
180,180,5,2,200,4,0,0,2880,540,780,100000,4000,20,1,30
180,180,5,2,300,0,0,0,2880,540,780,100000,4000,20,1,30
180,180,5,2,100,0,0.03,0,2880,540,780,100000,4000,20,1,30
180,180,5,2,200,4,0.03,0,2880,540,780,100000,4000,20,1,30
180,180,5,2,300,0,0.03,0,2880,540,780,100000,4000,20,1,30
180,180,5,2,100,4,0.08,0,2880,540,780,100000,4000,20,1,30
180,180,5,2,200,0,0.08,0,2880,540,780,100000,4000,20,1,30
180,180,5,2,300,4,0.08,0,2880,540,780,100000,4000,20,1,30
180,180,5,2,100,5,0.15,0,2880,540,780,100000,4000,20,1,30
180,180,5,2,200,5,0.15,0,2880,540,780,100000,4000,20,1,30
180,180,5,2,300,5,0.15,0,2880,540,780,100000,4000,20,1,30
180,180,5,2,100,5,0.25,0,2880,540,780,100000,4000,20,1,30
180,180,5,2,200,5,0.25,0,2880,540,780,100000,4000,20,1,30
180,180,5,2,300,5,0.25,0,2880,540,780,100000,4000,20,1,30
180,180,5,2,150,0,0,0,4320,540,780,100000,4000,20,1,30
180,180,5,2,300,6,0,0,4320,540,780,100000,4000,20,1,30
180,180,5,2,450,0,0,0,4320,540,780,100000,4000,20,1,30
180,180,5,2,150,0,0.03,0,4320,540,780,100000,4000,20,1,30
180,180,5,2,300,6,0.03,0,4320,540,780,100000,4000,20,1,30
180,180,5,2,450,0,0.03,0,4320,540,780,100000,4000,20,1,30
180,180,5,2,150,6,0.08,0,4320,540,780,100000,4000,20,1,30
180,180,5,2,300,0,0.08,0,4320,540,780,100000,4000,20,1,30
180,180,5,2,450,6,0.08,0,4320,540,780,100000,4000,20,1,30
180,180,5,2,150,7,0.15,0,4320,540,780,100000,4000,20,1,30
180,180,5,2,300,7,0.15,0,4320,540,780,100000,4000,20,1,30
180,180,5,2,450,7,0.15,0,4320,540,780,100000,4000,20,1,30
180,180,5,2,150,7,0.25,0,4320,540,780,100000,4000,20,1,30
180,180,5,2,300,7,0.25,0,4320,540,780,100000,4000,20,1,30
180,180,5,2,450,7,0.25,0,4320,540,780,100000,4000,20,1,30
